InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546670,22858,EASTER TIN KEEPSAKE,2,2011-03-15 15:37:00,1.65,13451.0,United Kingdom
578953,23496,PANTRY KITCHEN THERMOMETER ,3,2011-11-27 14:50:00,1.25,13546.0,United Kingdom
567203,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-09-19 10:42:00,0.85,16080.0,United Kingdom
579145,22469,HEART OF WICKER SMALL,15,2011-11-28 13:13:00,1.65,14597.0,United Kingdom
546852,21137,BLACK RECORD COVER FRAME,24,2011-03-17 13:27:00,3.39,13104.0,United Kingdom
548354,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2011-03-30 15:06:00,1.45,15981.0,United Kingdom
559155,22712,CARD DOLLY GIRL ,12,2011-07-06 15:49:00,0.42,13418.0,United Kingdom
571036,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-10-13 12:52:00,1.69,17567.0,United Kingdom
548865,22180,RETROSPOT LAMP,3,2011-04-04 14:09:00,9.95,14747.0,United Kingdom
555746,20750,RED RETROSPOT MINI CASES,2,2011-06-07 10:55:00,7.95,14606.0,United Kingdom
543096,22384,LUNCH BAG PINK POLKADOT,1,2011-02-03 11:39:00,1.65,14044.0,United Kingdom
554323,22294,HEART FILIGREE DOVE  SMALL,24,2011-05-23 15:33:00,1.25,16729.0,United Kingdom
553006,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-05-12 16:45:00,1.65,15544.0,United Kingdom
554098,22817,CARD SUKI BIRTHDAY,12,2011-05-22 13:01:00,0.42,14769.0,United Kingdom
555573,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,2011-06-05 15:46:00,1.65,15349.0,United Kingdom
538370,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,8,2010-12-12 11:06:00,2.95,16923.0,United Kingdom
562393,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2011-08-04 16:17:00,0.83,18172.0,United Kingdom
536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,2010-12-01 09:41:00,2.1,15311.0,United Kingdom
568780,21058,PARTY INVITES WOODLAND,12,2011-09-29 08:27:00,0.85,18235.0,United Kingdom
576025,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,2011-11-13 14:34:00,6.35,13232.0,United Kingdom
567928,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-09-22 17:31:00,5.45,12380.0,Belgium
542904,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2011-02-01 14:58:00,1.65,12682.0,France
570428,22417,PACK OF 60 SPACEBOY CAKE CASES,2,2011-10-10 14:02:00,0.55,15553.0,United Kingdom
579414,22632,HAND WARMER RED RETROSPOT,4,2011-11-29 12:52:00,2.1,14719.0,United Kingdom
557414,22418,10 COLOUR SPACEBOY PEN,24,2011-06-20 11:42:00,0.85,15840.0,United Kingdom
554999,15034,PAPER POCKET TRAVELING FAN ,24,2011-05-29 15:44:00,0.14,15547.0,United Kingdom
551293,20654,FIRST CLASS LUGGAGE TAG ,12,2011-04-27 14:28:00,1.06,14298.0,United Kingdom
578702,23356,LOVE HOT WATER BOTTLE,12,2011-11-25 10:58:00,5.95,15382.0,United Kingdom
543975,90014A,SILVER/MOP ORBIT NECKLACE,2,2011-02-14 15:23:00,9.95,17231.0,United Kingdom
545636,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,2011-03-04 12:15:00,1.25,16449.0,United Kingdom
579516,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,2,2011-11-29 17:52:00,0.42,17841.0,United Kingdom
546742,22267,EASTER DECORATION EGG BUNNY ,12,2011-03-16 12:26:00,1.25,12849.0,United Kingdom
558096,22780,LIGHT GARLAND BUTTERFILES PINK,1,2011-06-26 13:24:00,4.25,15532.0,United Kingdom
541256,22228,BUNNY WOODEN PAINTED WITH BIRD ,12,2011-01-16 14:36:00,0.85,13048.0,United Kingdom
576880,23126,FELTCRAFT GIRL AMELIE KIT,4,2011-11-16 17:03:00,4.95,14911.0,EIRE
545063,21260,FIRST AID TIN,1,2011-02-27 14:26:00,3.25,14606.0,United Kingdom
569220,22555,PLASTERS IN TIN STRONGMAN,2,2011-10-02 13:26:00,1.65,16007.0,United Kingdom
551696,82582,AREA PATROLLED METAL SIGN,12,2011-05-03 13:39:00,2.1,14110.0,United Kingdom
543800,22694,WICKER STAR ,1,2011-02-13 11:36:00,2.1,17282.0,United Kingdom
546255,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-03-10 14:56:00,1.65,13468.0,United Kingdom
557232,85173,SET/6 FROG PRINCE T-LIGHT CANDLES,6,2011-06-17 14:28:00,2.55,12463.0,Belgium
541655,22282,12 EGG HOUSE PAINTED WOOD,1,2011-01-20 12:04:00,12.75,14779.0,United Kingdom
555587,21877,HOME SWEET HOME MUG,12,2011-06-06 09:13:00,1.25,15687.0,United Kingdom
555537,85212,MINI PAINTED GARDEN DECORATION ,12,2011-06-05 12:37:00,0.29,15453.0,United Kingdom
565475,21790,VINTAGE SNAP CARDS,144,2011-09-05 10:47:00,0.72,14156.0,EIRE
552010,21915,RED  HARMONICA IN BOX ,12,2011-05-05 17:26:00,1.25,14713.0,United Kingdom
538992,51008,AFGHAN SLIPPER SOCK PAIR,10,2010-12-15 11:56:00,3.45,15950.0,United Kingdom
544074,85049C,ROMANTIC PINKS RIBBONS ,4,2011-02-15 14:49:00,1.25,14156.0,EIRE
580291,22866,HAND WARMER SCOTTY DOG DESIGN,6,2011-12-02 13:36:00,2.1,15539.0,United Kingdom
559989,21658,GLASS  BEURRE DISH,4,2011-07-14 12:21:00,3.95,13319.0,United Kingdom
553546,21195,PINK  HONEYCOMB PAPER BALL ,48,2011-05-17 15:42:00,1.69,12415.0,Australia
564060,22556,PLASTERS IN TIN CIRCUS PARADE ,3,2011-08-22 14:37:00,1.65,17073.0,United Kingdom
537672,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-08 09:30:00,14.95,13050.0,United Kingdom
572284,51014L,"FEATHER PEN,LIGHT PINK",12,2011-10-23 12:08:00,0.39,16744.0,United Kingdom
540157,85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,1,2011-01-05 11:41:00,4.25,15311.0,United Kingdom
563745,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2011-08-19 09:38:00,2.95,15159.0,United Kingdom
550710,22458,CAST IRON HOOK GARDEN FORK,128,2011-04-20 11:05:00,2.69,17450.0,United Kingdom
570411,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-10-10 13:11:00,4.95,16954.0,United Kingdom
566200,82578,KITCHEN METAL SIGN,1,2011-09-09 14:14:00,0.55,16910.0,United Kingdom
580515,23100,SILVER BELLS TABLE DECORATION,1,2011-12-04 14:09:00,1.25,17750.0,United Kingdom
579262,23697,A PRETTY THANK YOU CARD,12,2011-11-29 09:13:00,0.42,13599.0,United Kingdom
571189,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-14 11:42:00,0.79,13213.0,United Kingdom
561896,23200,JUMBO BAG PEARS,10,2011-07-31 15:22:00,2.08,15819.0,United Kingdom
567798,82552,WASHROOM METAL SIGN,12,2011-09-22 12:00:00,1.45,13089.0,United Kingdom
546376,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-03-11 12:11:00,0.65,13842.0,United Kingdom
557007,47567B,TEA TIME KITCHEN APRON,2,2011-06-16 11:30:00,5.95,12484.0,Spain
560432,23284,DOORMAT KEEP CALM AND COME IN,10,2011-07-18 15:39:00,6.75,13327.0,United Kingdom
561750,22381,TOY TIDY PINK POLKADOT,5,2011-07-29 12:18:00,2.1,16945.0,United Kingdom
567928,20725,LUNCH BAG RED RETROSPOT,10,2011-09-22 17:31:00,1.65,12380.0,Belgium
560257,22141,CHRISTMAS CRAFT TREE TOP ANGEL,12,2011-07-17 13:25:00,2.1,13340.0,United Kingdom
558539,23288,GREEN VINTAGE SPOT BEAKER,8,2011-06-30 12:14:00,0.85,16556.0,United Kingdom
561028,22792,FLUTED ANTIQUE CANDLE HOLDER,12,2011-07-24 11:06:00,0.85,17769.0,United Kingdom
538035,20713,JUMBO BAG OWLS,1,2010-12-09 13:03:00,1.95,16065.0,United Kingdom
546922,21174,POTTERING IN THE SHED METAL SIGN,12,2011-03-18 09:59:00,2.08,14110.0,United Kingdom
578233,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2011-11-23 12:20:00,4.25,14049.0,United Kingdom
562611,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-08-08 11:58:00,1.65,17716.0,United Kingdom
578040,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-11-22 14:21:00,4.15,13322.0,United Kingdom
574311,22186,RED STAR CARD HOLDER,6,2011-11-03 16:56:00,1.95,15640.0,United Kingdom
553202,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-05-15 16:02:00,2.95,15854.0,United Kingdom
554465,22383,LUNCH BAG SUKI DESIGN ,10,2011-05-24 12:36:00,1.65,13534.0,United Kingdom
541258,72122,COFFEE SCENT PILLAR CANDLE,3,2011-01-16 15:30:00,0.95,13634.0,United Kingdom
549323,22711,WRAP CIRCUS PARADE,25,2011-04-08 10:26:00,0.42,12999.0,United Kingdom
563162,22683,FRENCH BLUE METAL DOOR SIGN 8,20,2011-08-12 12:15:00,1.25,16013.0,United Kingdom
570594,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-10-11 11:43:00,1.45,13517.0,United Kingdom
569919,21889,WOODEN BOX OF DOMINOES,12,2011-10-06 17:08:00,1.25,15300.0,United Kingdom
566913,21213,PACK OF 72 SKULL CAKE CASES,5,2011-09-15 14:07:00,0.55,17602.0,United Kingdom
538378,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-12-12 11:26:00,4.65,14577.0,United Kingdom
573340,23285,PINK VINTAGE SPOT BEAKER,1,2011-10-30 11:55:00,0.85,14159.0,United Kingdom
