InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
546729,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-03-16 11:36:00,1.25,18231.0,United Kingdom
559898,21868,POTTING SHED TEA MUG,6,2011-07-13 12:18:00,1.25,16225.0,United Kingdom
548648,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-04-01 13:20:00,0.85,12949.0,United Kingdom
540543,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4,2011-01-09 15:23:00,2.95,14395.0,United Kingdom
561390,20726,LUNCH BAG WOODLAND,10,2011-07-27 09:52:00,1.65,17068.0,United Kingdom
565836,85152,HAND OVER THE CHOCOLATE   SIGN ,48,2011-09-07 11:41:00,1.85,17511.0,United Kingdom
570672,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-10-11 14:52:00,2.1,12536.0,France
557950,23118,PARISIENNE JEWELLERY DRAWER ,2,2011-06-23 17:35:00,7.5,17848.0,United Kingdom
575728,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,2011-11-10 19:40:00,1.25,14911.0,EIRE
575195,84006,MAGIC TREE -PAPER FLOWERS,12,2011-11-09 09:40:00,0.85,16767.0,United Kingdom
547374,22267,EASTER DECORATION EGG BUNNY ,1,2011-03-22 13:54:00,1.25,16110.0,United Kingdom
553935,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2011-05-20 10:32:00,0.55,15856.0,United Kingdom
577853,22766,PHOTO FRAME CORNICE,4,2011-11-22 11:13:00,2.95,13681.0,United Kingdom
558709,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,4,2011-07-01 13:02:00,4.25,17338.0,United Kingdom
542229,21989,PACK OF 20 SKULL PAPER NAPKINS,12,2011-01-26 13:38:00,0.85,12474.0,Germany
580317,22469,HEART OF WICKER SMALL,12,2011-12-02 15:29:00,1.65,13458.0,United Kingdom
575210,23457,LARGE PARLOUR PICTURE FRAME,6,2011-11-09 10:32:00,4.95,14732.0,United Kingdom
558702,22991,GIRAFFE WOODEN RULER,2,2011-07-01 12:45:00,1.95,12748.0,United Kingdom
575986,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-11-13 14:11:00,1.25,13018.0,United Kingdom
540482,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-01-07 15:48:00,1.25,14672.0,United Kingdom
544592,22804,CANDLEHOLDER PINK HANGING HEART,3,2011-02-21 15:30:00,2.95,16775.0,United Kingdom
573511,22195,LARGE HEART MEASURING SPOONS,24,2011-10-31 12:25:00,1.65,12347.0,Iceland
